code,fund_type,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
519158,hh,新华趋势领航混合,2021-11-12,5.0679,5.5343,1.65,-1.17,19.29,13.45,55.36,58.62,138.15,226.75,40.89,534.01,0.15%,http://fund.eastmoney.com/519158.html
002378,hh,建信弘利灵活配置混合,2021-11-12,2.7489,2.7489,2.41,5.21,19.29,13.02,17.13,25.39,118.86,203.68,13.1,174.89,0.15%,http://fund.eastmoney.com/002378.html
217020,hh,招商安达灵活配置混合,2021-11-12,3.234,3.5319,1.26,4.24,19.26,3.25,32.28,29.31,110.49,215.6,12.53,319.73,0.15%,http://fund.eastmoney.com/217020.html
110005,hh,易方达积极成长混合,2021-11-12,0.9998,6.2374,2.35,6.3,19.08,6.58,41.18,52.2,95.42,156.13,43.36,1186.9,0.15%,http://fund.eastmoney.com/110005.html
001411,hh,诺安创新驱动混合A,2021-11-12,1.688,1.803,0.84,6.7,19.04,5.5,54.58,64.84,67.83,78.11,55.0,88.66,0.15%,http://fund.eastmoney.com/001411.html
002051,hh,诺安创新驱动混合C,2021-11-12,1.673,1.788,0.78,6.63,18.99,5.49,54.48,64.5,67.18,77.29,54.76,85.22,0.15%,http://fund.eastmoney.com/002051.html
580006,hh,东吴新经济混合A,2021-11-12,2.1525,2.5425,0.54,3.69,18.97,7.53,60.87,73.98,136.28,184.72,54.04,198.28,0.15%,http://fund.eastmoney.com/580006.html
630011,hh,华商主题精选混合,2021-11-12,2.945,3.845,1.1,3.7,18.85,5.25,47.32,50.95,118.15,199.29,35.4,345.73,0.15%,http://fund.eastmoney.com/630011.html
000530,hh,招商丰盛稳定增长混合A,2021-11-12,2.373,2.373,1.28,3.67,18.83,4.77,28.62,21.32,77.35,111.5,8.01,137.3,0.15%,http://fund.eastmoney.com/000530.html
004423,hh,华商研究精选灵活配置,2021-11-12,3.467,3.467,1.32,3.74,18.81,6.12,52.93,57.52,139.27,218.95,40.76,246.7,0.15%,http://fund.eastmoney.com/004423.html
002417,hh,招商丰盛稳定增长混合C,2021-11-12,2.358,2.358,1.29,3.69,18.79,4.66,28.36,20.74,75.71,108.49,7.52,97.82,0.15%,http://fund.eastmoney.com/002417.html
398061,hh,中海消费混合,2021-11-12,6.353,6.563,1.66,0.55,18.73,6.34,25.88,47.78,117.12,246.21,25.78,658.84,0.15%,http://fund.eastmoney.com/398061.html
001279,hh,中海积极增利混合,2021-11-12,3.138,3.138,1.49,3.26,18.55,9.41,70.08,88.13,207.35,323.48,69.9,213.8,0.15%,http://fund.eastmoney.com/001279.html
