fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
gp,005106,银华农业产业股票发起式,2021-11-12,2.3046,2.3046,2,4.46,5.44,5.38,-0.09,8.18,67.94,183.71,0.99,130.46,0.15%,http://fund.eastmoney.com/005106.html
gp,005314,万家中证1000指数增强C,2021-11-12,1.2987,1.9084,1.24,4.46,5.13,2.75,24.73,28.52,78.56,119.02,25.51,119.33,0.00%,http://fund.eastmoney.com/005314.html
gp,011149,创金合信ESG责任投资股票A,2021-11-12,1.1419,1.1419,0.60,4.46,8.54,-1.76,21.21,,,,13.71,14.19,0.15%,http://fund.eastmoney.com/011149.html
gp,011150,创金合信ESG责任投资股票C,2021-11-12,1.1369,1.1369,0.59,4.46,8.49,-1.87,20.91,,,,13.23,13.69,0.00%,http://fund.eastmoney.com/011150.html
gp,000586,景顺长城中小创精选股票,2021-11-12,2.8990,2.8990,1.83,4.43,11.54,5,31.89,28.56,86.07,125.95,21.15,189.90,0.15%,http://fund.eastmoney.com/000586.html
gp,010777,浙商智选家居股票A,2021-11-12,0.8925,0.8925,0.52,4.42,3.45,-9.97,-12.06,,,,,-10.75,0.15%,http://fund.eastmoney.com/010777.html
gp,011377,创金合信积极成长股票A,2021-11-12,1.1485,1.1485,0.44,4.41,11.62,-1.38,30.04,,,,,14.85,0.15%,http://fund.eastmoney.com/011377.html
gp,001975,景顺长城环保优势股票,2021-11-12,4.2440,4.2440,0.64,4.40,16.63,-0.66,38.56,41.56,134.73,222,26.42,324.40,0.15%,http://fund.eastmoney.com/001975.html
gp,011378,创金合信积极成长股票C,2021-11-12,1.1442,1.1442,0.44,4.40,11.57,-1.51,29.71,,,,,14.42,0.00%,http://fund.eastmoney.com/011378.html
gp,010778,浙商智选家居股票C,2021-11-12,0.8896,0.8896,0.52,4.40,3.41,-10.08,-12.29,,,,,-11.04,0.00%,http://fund.eastmoney.com/010778.html
gp,013339,创金合信芯片产业股票发起A,2021-11-12,1.1413,1.1413,-0.23,4.38,14.45,,,,,,,14.13,0.15%,http://fund.eastmoney.com/013339.html
gp,013340,创金合信芯片产业股票发起C,2021-11-12,1.1407,1.1407,-0.23,4.37,14.41,,,,,,,14.07,0.00%,http://fund.eastmoney.com/013340.html
gp,001719,工银国家战略股票,2021-11-12,2.3430,2.3430,-0.17,4.32,0.51,1.96,20.59,41.74,104.63,193.24,24.63,134.30,0.15%,http://fund.eastmoney.com/001719.html
gp,011631,东财有色金属C,2021-11-12,1.4508,1.4508,0.21,4.30,3.69,-3,27.73,,,,,45.08,0.00%,http://fund.eastmoney.com/011631.html
gp,011630,东财有色金属A,2021-11-12,1.4536,1.4536,0.21,4.30,3.71,-2.94,27.91,,,,,45.36,0.15%,http://fund.eastmoney.com/011630.html
gp,010013,易方达信息行业精选股票,2021-11-12,1.1978,1.1978,0.24,4.26,12.15,1.31,27.62,19.30,,,13.94,19.78,0.15%,http://fund.eastmoney.com/010013.html
gp,540010,汇丰晋信科技先锋股票,2021-11-12,3.5895,3.5895,-0.64,4.25,13.13,1.11,28.43,12.20,74.44,142.52,8.28,258.95,0.15%,http://fund.eastmoney.com/540010.html
gp,002236,大成360互联网+大数据100A,2021-11-12,1.6310,1.6310,0.74,4.22,3.89,4.08,23.09,14.22,65.08,105.16,25.75,63.10,0.12%,http://fund.eastmoney.com/002236.html
gp,501305,汇添富中证港股通(LOF)A,2021-11-12,0.8382,0.8382,0.25,4.21,-3.89,-6.61,-9.75,-3.34,-9.15,-1.03,-0.70,-16.18,0.10%,http://fund.eastmoney.com/501305.html
gp,003359,大成360互联网+大数据100C,2021-11-12,1.5870,1.5870,0.76,4.20,3.86,3.93,22.74,13.60,63.10,101.65,25.16,40.82,0.00%,http://fund.eastmoney.com/003359.html
gp,501306,汇添富中证港股通(LOF)C,2021-11-12,0.8254,0.8254,0.24,4.19,-3.92,-6.70,-9.94,-3.74,-9.88,-2.18,-1.05,-17.46,0.00%,http://fund.eastmoney.com/501306.html
gp,540007,汇丰晋信中小盘股票,2021-11-12,2.0827,2.1027,1.90,4.18,5.23,-7.49,3.80,6.04,67.68,118.98,-8.43,112.08,0.15%,http://fund.eastmoney.com/540007.html
gp,001188,鹏华改革红利股票,2021-11-12,1.5710,1.5710,0.45,4.18,15.60,5.08,18.48,28.14,67.31,109.75,14.42,57.10,0.15%,http://fund.eastmoney.com/001188.html
gp,003745,广发多元新兴股票,2021-11-12,2.7099,2.7099,0.65,4.17,6.72,-3.74,6.76,14.57,102.90,234.35,6.08,170.99,0.15%,http://fund.eastmoney.com/003745.html
gp,003646,创金合信中证1000指数增强A,2021-11-12,1.6822,1.6822,1.47,4.15,5.75,1.37,19.89,23.03,78.96,116.08,19.36,68.22,0.15%,http://fund.eastmoney.com/003646.html
gp,003647,创金合信中证1000指数增强C,2021-11-12,1.6633,1.6633,1.48,4.15,5.73,1.32,19.77,22.80,78.24,113.85,19.16,66.33,0.00%,http://fund.eastmoney.com/003647.html
gp,002121,广发沪港深新起点股票A,2021-11-12,1.9188,2.0038,1.64,4.14,4.16,-4.55,-5.40,6.71,41.71,68.02,-3.44,105.38,0.15%,http://fund.eastmoney.com/002121.html
gp,007137,鹏扬元合量化大盘A,2021-11-12,1.9521,1.9521,1.37,4.13,11.26,4.40,26.37,44.13,90.10,,27.01,95.21,0.15%,http://fund.eastmoney.com/007137.html
gp,010024,广发沪港深新起点股票C,2021-11-12,1.9106,1.9106,1.64,4.13,4.13,-4.65,-5.59,6.29,,,-3.76,9.18,0.00%,http://fund.eastmoney.com/010024.html
gp,001707,诺安高端制造股票,2021-11-12,1.90,1.90,1.06,4.11,8.88,7.28,24.75,37.18,67.70,130.86,20.18,90,0.15%,http://fund.eastmoney.com/001707.html
