,fund_type,code,name,today,net_value,accumulative_value,rate_day,rate_recent_week,rate_recent_month,rate_recent_3month,rate_recent_6month,rate_recent_year,rate_recent_2year,rate_recent_3year,rate_from_this_year,rate_from_begin,rate_buy,url
1578,hh,550009,信诚中小盘混合,2021-06-25,4.513,4.643,1.62,6.89,15.72,39.68,26.73,79.16,240.6,230.62,27.27,409.92,0.15%,http://fund.eastmoney.com/550009.html
1888,hh,006233,万家汽车新趋势混合A,2021-06-25,2.4639,2.4639,1.26,4.46,14.46,39.66,24.79,71.2,,,23.63,146.39,0.15%,http://fund.eastmoney.com/006233.html
2137,hh,005300,万家成长优选混合C,2021-06-25,2.9368,2.9368,1.08,3.95,13.33,39.61,29.45,75.81,208.68,233.92,27.74,193.68,0.00%,http://fund.eastmoney.com/005300.html
166,gp,005927,创金合信新能源汽车股票A,2021-06-25,2.6669,2.6669,1.85,4.21,18.91,39.53,24.88,103.36,196.36,171.36,23.59,166.69,0.15%,http://fund.eastmoney.com/005927.html
1665,hh,008359,华安医疗创新混合,2021-06-25,1.7939,1.7939,2.76,5.51,6.99,39.52,31.54,63.27,,,28.86,79.39,0.15%,http://fund.eastmoney.com/008359.html
1897,hh,006234,万家汽车新趋势混合C,2021-06-25,2.4435,2.4435,1.26,4.45,14.42,39.49,24.48,70.35,,,23.34,144.35,0.00%,http://fund.eastmoney.com/006234.html
3118,hh,004666,长城久嘉创新成长混合,2021-06-25,1.7044,1.7044,0.48,2.81,22.18,39.43,23.3,20.79,87.9,71.52,19.22,70.44,0.15%,http://fund.eastmoney.com/004666.html
169,gp,005928,创金合信新能源汽车股票C,2021-06-25,2.607,2.607,1.85,4.2,18.84,39.29,24.45,101.95,192.4,165.53,23.17,160.7,0.00%,http://fund.eastmoney.com/005928.html
336,gp,161028,富国中证新能源汽车指数(LOF),2021-06-25,1.266,1.468,1.52,3.52,14.99,39.12,21.03,95.44,225.75,153.09,19.32,93.02,0.12%,http://fund.eastmoney.com/161028.html
1600,hh,001704,国投瑞银进宝灵活配置混合,2021-06-25,3.1469,3.1719,2.13,6.27,9.31,39.02,16.55,67.75,214.44,223.09,12.53,222.52,0.15%,http://fund.eastmoney.com/001704.html
3761,hh,460001,华泰柏瑞盛世中国混合,2021-06-25,0.7215,4.3503,2.05,2.14,7.22,38.99,18.07,59.53,146.92,131.55,15.35,1151.03,0.15%,http://fund.eastmoney.com/460001.html
129,gp,009147,建信新能源行业股票,2021-06-25,2.0754,2.0754,1.01,4.48,18.13,38.81,21.7,107.13,,,20.06,107.54,0.15%,http://fund.eastmoney.com/009147.html
1768,hh,006154,华安制造先锋混合,2021-06-25,3.0598,3.0598,0.65,4.86,12.22,38.72,15.51,39.76,139.55,,14.34,205.98,0.15%,http://fund.eastmoney.com/006154.html
1732,hh,001323,东吴移动互联混合A,2021-06-25,1.9287,1.9287,0.81,5.04,15.15,38.65,17.13,50.43,119.92,80.42,15.64,92.87,0.15%,http://fund.eastmoney.com/001323.html
1733,hh,002170,东吴移动互联混合C,2021-06-25,1.9248,1.9248,0.81,5.04,15.13,38.59,17.03,51.89,121.75,81.76,15.55,90.39,0.00%,http://fund.eastmoney.com/002170.html
1783,hh,000452,南方医药保健灵活配置混合,2021-06-25,4.881,5.096,2.91,4.81,5.67,38.51,37.34,49.54,206.98,196.54,37.34,481.72,0.15%,http://fund.eastmoney.com/000452.html
1613,hh,006736,国投瑞银先进制造混合,2021-06-25,3.17,3.17,1.69,6.0,10.02,38.43,19.19,71.29,226.33,,14.58,217.0,0.15%,http://fund.eastmoney.com/006736.html
1687,hh,006128,银河和美生活混合,2021-06-25,1.7711,1.7711,1.58,5.34,18.88,38.21,13.31,39.1,68.37,,11.88,77.11,0.15%,http://fund.eastmoney.com/006128.html
1782,hh,010654,天弘医药创新A,2021-06-25,1.3471,1.3471,1.26,4.82,7.22,38.12,32.0,,,,30.94,34.71,0.12%,http://fund.eastmoney.com/010654.html
1580,hh,001822,华商智能生活灵活配置混合,2021-06-25,2.111,2.111,1.15,6.83,14.17,38.06,17.67,35.93,172.39,152.51,14.98,111.1,0.15%,http://fund.eastmoney.com/001822.html
369,gp,009067,国泰中证新能源汽车ETF联接A,2021-06-25,2.3676,2.3676,1.54,3.46,14.02,38.04,21.04,97.7,,,19.68,136.76,0.10%,http://fund.eastmoney.com/009067.html
1976,hh,001000,中欧明睿新起点混合,2021-06-25,2.399,2.399,2.52,4.26,10.2,38.03,17.66,58.35,169.85,142.57,15.34,139.9,0.15%,http://fund.eastmoney.com/001000.html
1785,hh,010655,天弘医药创新C,2021-06-25,1.3443,1.3443,1.26,4.81,7.18,38.02,31.76,,,,30.72,34.43,0.00%,http://fund.eastmoney.com/010655.html
1635,hh,007689,国投瑞银新能源混合A,2021-06-25,2.4234,2.4934,1.9,5.85,9.59,37.98,20.94,74.67,,,15.97,158.46,0.15%,http://fund.eastmoney.com/007689.html
368,gp,009068,国泰中证新能源汽车ETF联接C,2021-06-25,2.3593,2.3593,1.55,3.46,14.0,37.94,20.85,97.1,,,19.51,135.93,0.00%,http://fund.eastmoney.com/009068.html
3053,hh,180012,银华富裕主题混合,2021-06-25,8.3136,9.2666,3.36,2.87,4.88,37.91,28.59,73.54,164.02,192.55,23.5,1585.89,0.15%,http://fund.eastmoney.com/180012.html
1636,hh,007690,国投瑞银新能源混合C,2021-06-25,2.4079,2.4779,1.89,5.84,9.55,37.83,20.69,73.97,,,15.74,156.82,0.00%,http://fund.eastmoney.com/007690.html
4642,hh,519674,银河创新成长混合,2021-06-25,7.0993,7.0993,0.97,1.16,18.3,37.81,26.53,20.46,183.1,191.97,21.18,609.93,0.15%,http://fund.eastmoney.com/519674.html
1700,hh,004905,华泰柏瑞生物医药混合A,2021-06-25,3.5038,3.5038,2.75,5.24,5.36,37.79,27.26,45.5,185.28,190.29,26.3,250.38,0.15%,http://fund.eastmoney.com/004905.html
20,gp,001245,工银生态环境股票,2021-06-25,2.004,2.004,1.42,6.37,16.24,37.73,12.14,92.14,206.42,205.95,12.02,100.4,0.15%,http://fund.eastmoney.com/001245.html
4067,hh,000698,宝盈科技30混合,2021-06-25,3.568,3.568,0.93,1.8,12.84,37.65,18.11,38.67,165.87,153.59,13.13,256.8,0.15%,http://fund.eastmoney.com/000698.html
937,gp,010128,宝盈发展新动能股票A,2021-06-25,1.3178,1.3178,0.76,2.59,14.2,37.57,24.46,,,,19.9,31.78,0.15%,http://fund.eastmoney.com/010128.html
